Source,Location,Number of Beds,Type,Price (HKD)
Hotel,(outside tokyo),3.0,Hotel Room,2185.0
Hotel,Shibuya,1.0,Hotel Room,1497.0
Hotel,Shinjuku,1.0,Hotel Room,622.0
Hotel,Arakawa,1.0,Hotel Room,768.0
Hotel,Chuo,1.0,Hotel Room,490.0
Hotel,Chiyoda,1.0,Hotel Room,4437.0
Hotel,Chiyoda,1.0,Hotel Room,1211.0
Hotel,Taito,1.0,Dormitory,411.0
Hotel,Arakawa,1.0,Hotel Room,498.0
Hotel,Taito,1.0,Hotel Room,541.0
Hotel,Katsuhika,1.0,Hotel Room,465.0
Hotel,Shinjuku,2.0,Hotel Room,884.0
Hotel,Taito,3.0,Hotel Room,1039.0
Hotel,Taito,2.0,Hotel Room,606.0
Hotel,Toshima,2.0,Hotel Room,487.0
Hotel,Chiyoda,1.0,Hotel Room,2248.0
Hotel,Bunkyo,1.0,Hotel Room,663.0
Hotel,Toshima,1.0,Hotel Room,659.0
Hotel,Sumida,1.0,Hotel Room,454.0
Hotel,Shinagawa,1.0,Hotel Room,457.0
Hotel,Chiyoda,1.0,Hotel Room,857.0
Hotel,Sumida,1.0,Dormitory,216.0
Hotel,Shinjuku,1.0,Hotel Room,811.0
Hotel,Toshima,1.0,Hotel Room,487.0
Hotel,Taito,1.0,Hotel Room,476.0
Hotel,Toshima,1.0,Hotel Room,379.0
Hotel,Shibuya,1.0,Hotel Room,613.0
Hotel,Shinjuku,1.0,Hotel Room,541.0
Hotel,Chuo,1.0,Hotel Room,728.0
Hotel,Shinjuku,1.0,Hotel Room,4047.0
Hotel,Chiyoda,1.0,Hotel Room,844.0
Hotel,Koto,1.0,Hotel Room,1396.0
Hotel,Taito,1.0,Hotel Room,535.0
Hotel,Sumida,1.0,Hotel Room,270.0
Hotel,Taito,1.0,Hotel Room,718.0
Hotel,Minato,1.0,Hotel Room,622.0
